"","value","Class","N","N_cumulative","cumulative_pct","Group"
"60",0.874525616698292,"5520Z",8472,1552654,0.71994287396801,"Catégories représentant 25% des données"
"61",0.950578086623135,"6622Z",8348,1561002,0.723813719057699,"Catégories représentant 25% des données"
"62",0.990790766208251,"8623Z",8152,1569154,0.727593681823767,"Catégories représentant 25% des données"
"63",0.931057936066283,"8552Z",8130,1577284,0.731363443512695,"Catégories représentant 25% des données"
"64",0.844024996811631,"8219Z",7947,1585231,0.735048350787222,"Catégories représentant 25% des données"
"65",0.862880886426593,"4110D",7881,1593112,0.738702654830326,"Catégories représentant 25% des données"
"66",0.749198203976908,"4782Z",7728,1600840,0.742286015018768,"Catégories représentant 25% des données"
"67",0.934447983014862,"7111Z",7691,1608531,0.745852218850199,"Catégories représentant 25% des données"
"68",0.82979130767758,"9001Z",7672,1616203,0.749409612660464,"Catégories représentant 25% des données"
"69",0.840999734113268,"6619B",7524,1623727,0.752898381042689,"Catégories représentant 20% des données"
"70",0.640529467381027,"4690Z",7320,1631047,0.756292557618698,"Catégories représentant 20% des données"
"71",0.925959588897434,"4333Z",7239,1638286,0.759649175683414,"Catégories représentant 20% des données"
"72",0.977025725684413,"7430Z",7220,1645506,0.762996983726964,"Catégories représentant 20% des données"
"73",0.972566122678672,"0111Z",7115,1652621,0.766296104811431,"Catégories représentant 20% des données"
"74",0.757603427688418,"7311Z",7060,1659681,0.769569723203046,"Catégories représentant 20% des données"
"75",0.848738888487389,"9529Z",7000,1666681,0.772815520475185,"Catégories représentant 20% des données"
"76",0.906848711737503,"5621Z",6813,1673494,0.775974608591625,"Catégories représentant 20% des données"
"77",0.893157620430348,"9604Z",6764,1680258,0.779110976127161,"Catégories représentant 20% des données"
"78",0.900796178343949,"4312A",6193,1686451,0.781982579342355,"Catégories représentant 20% des données"
"79",0.833642027277319,"4941A",5945,1692396,0.78473918859705,"Catégories représentant 20% des données"
"80",0.967807869187532,"6920Z",5908,1698304,0.787478641494736,"Catégories représentant 20% des données"
"81",0.943697478991597,"3213Z",5886,1704190,0.790207893315281,"Catégories représentant 20% des données"
"82",0.851902875839504,"4322B",5801,1709991,0.792897731883235,"Catégories représentant 20% des données"
"83",0.795755045233125,"8230Z",5755,1715746,0.795566240926258,"Catégories représentant 20% des données"
"84",0.912797485406376,"7739Z",5606,1721352,0.798165660855917,"Catégories représentant 20% des données"
"85",0.876803153839262,"9003B",5603,1726955,0.800763689729602,"Catégories représentant 20% des données"
"86",0.933514739229025,"5814Z",5568,1732523,0.803345489616926,"Catégories représentant 20% des données"
"87",0.856334308084143,"1413Z",5239,1737762,0.80577473703246,"Catégories représentant 20% des données"
"88",0.971484566389025,"0121Z",5107,1742869,0.808142777985148,"Catégories représentant 20% des données"
"89",0.811887132279368,"4941B",5071,1747940,0.810494126266151,"Catégories représentant 20% des données"
