"","Level","Type","Accuracy"
"1","Niveau 1","GU",0.899783384301733
"2","Niveau 2","GU",0.863723241590214
"3","Niveau 3","GU",0.839704383282365
"4","Niveau 4","GU",0.814347604485219
"5","Niveau 5","GU",0.800267584097859
"6","Niveau 1","Test",0.950099932786502
"7","Niveau 2","Test",0.930962535597698
"8","Niveau 3","Test",0.908537795798946
"9","Niveau 4","Test",0.89762622849133
"10","Niveau 5","Test",0.88845361778173
